year,circuit,lap_time_s,sector1_s,sector2_s,sector3_s,compound,tyre_age,air_temp,track_temp,humidity
2022,Bahrain Grand Prix,96.302,31.06,41.554,23.688,SOFT,13.0,23.617791411042944,28.61042944785276,29.49079754601227
2022,Saudi Arabian Grand Prix,92.821,34.19,29.42,29.211,HARD,27.0,25.42039473684211,28.40921052631579,59.66447368421053
2022,Australian Grand Prix,81.495,28.206,18.107,35.182,HARD,30.0,26.69743589743589,37.40833333333334,43.65384615384615
2022,Emilia Romagna Grand Prix,80.962,25.795,27.925,27.242,MEDIUM,39.0,12.899367088607592,17.41898734177215,83.17088607594937
2022,Miami Grand Prix,92.195,30.747,35.491,25.957,MEDIUM,16.0,30.617283950617285,42.81975308641975,58.858024691358025
2022,Spanish Grand Prix,84.636,23.405,32.127,29.104,SOFT,4.0,36.56585365853658,48.957317073170735,7.109756097560975
2022,Monaco Grand Prix,76.83,20.449,35.837,20.544,MEDIUM,12.0,22.27469387755102,31.038367346938774,75.66530612244898
2022,Azerbaijan Grand Prix,107.177,38.11,43.223,25.844,HARD,10.0,25.435403726708078,47.14968944099379,59.49068322981366
2022,Canadian Grand Prix,76.418,21.177,24.332,30.909,HARD,18.0,20.762962962962963,41.261111111111106,28.925925925925927
2022,Austrian Grand Prix,69.075,17.197,31.039,20.839,None,24.0,20.25592105263158,30.74671052631579,35.13815789473684
2022,French Grand Prix,97.548,24.665,30.017,42.866,HARD,34.0,30.164843750000003,54.46171875,47.734375
2022,Hungarian Grand Prix,82.766,29.881,29.707,23.178,MEDIUM,18.0,18.559880239520957,26.720958083832333,69.31736526946108
2022,Belgian Grand Prix,110.793,32.211,48.304,30.278,HARD,2.0,21.78717948717949,36.08397435897436,40.51923076923077
2022,Dutch Grand Prix,73.671,25.341,25.8,22.53,SOFT,17.0,22.73006134969325,33.44601226993865,75.38036809815951
2022,Italian Grand Prix,85.288,27.985,29.228,28.075,HARD,17.0,27.73469387755102,43.138775510204084,33.14965986394558
2022,Singapore Grand Prix,106.458,28.869,40.391,37.198,SOFT,3.0,26.23254901960784,28.973333333333333,87.44705882352942
2022,Japanese Grand Prix,107.004,38.618,47.88,20.506,INTERMEDIATE,16.0,16.717647058823534,19.930588235294113,86.21176470588236
2022,United States Grand Prix,98.788,26.903,39.64,32.245,SOFT,5.0,29.28529411764706,35.523529411764706,49.62352941176471
2022,Mexico City Grand Prix,80.153,28.186,31.082,20.885,SOFT,5.0,24.312727272727273,41.689090909090915,34.442424242424245
2022,São Paulo Grand Prix,73.785,18.998,37.66,17.127,SOFT,21.0,23.010778443113775,46.04910179640718,76.07784431137725
2022,Abu Dhabi Grand Prix,88.836,17.884,38.577,32.375,MEDIUM,9.0,28.575483870967748,34.310322580645156,61.68387096774194
2023,Bahrain Grand Prix,97.221,30.915,42.756,23.55,HARD,2.0,27.43167701863354,31.01180124223602,21.496894409937887
2023,Saudi Arabian Grand Prix,92.433,33.785,29.221,29.427,HARD,32.0,26.09189189189189,31.79256756756757,57.79054054054054
2023,Australian Grand Prix,82.68,28.733,18.436,35.511,HARD,9.0,17.449549549549552,30.13963963963964,54.15765765765766
2023,Azerbaijan Grand Prix,103.37,36.397,41.715,25.258,SOFT,2.0,24.860625,41.209999999999994,49.225
2023,Miami Grand Prix,91.015,30.739,34.683,25.593,HARD,40.0,27.11741935483871,36.689032258064515,59.42580645161291
2023,Monaco Grand Prix,76.798,20.07,36.259,20.469,HARD,48.0,25.06590909090909,39.25568181818182,45.86363636363637
2023,Spanish Grand Prix,77.875,23.385,31.123,23.367,SOFT,6.0,22.674025974025977,33.838961038961045,63.077922077922075
2023,Canadian Grand Prix,77.097,21.51,24.559,31.028,HARD,32.0,18.530246913580246,30.593209876543206,63.901234567901234
2023,Austrian Grand Prix,69.283,17.456,30.943,20.884,MEDIUM,8.0,22.398039215686275,32.05424836601307,52.04575163398693
2023,British Grand Prix,91.124,29.144,36.929,25.051,MEDIUM,13.0,21.473509933774835,30.94105960264901,56.18543046357616
2023,Hungarian Grand Prix,82.158,29.668,29.435,23.055,MEDIUM,2.0,28.808536585365857,48.579268292682926,32.80487804878049
2023,Belgian Grand Prix,110.603,31.701999999999998,48.758,30.143,SOFT,3.0,17.873333333333335,28.24066666666667,61.92666666666667
2023,Dutch Grand Prix,75.124,25.706,26.742,22.676,HARD,38.0,16.791866028708135,24.94114832535885,70.77511961722487
2023,Italian Grand Prix,85.847,28.065,29.545,28.237,HARD,22.0,29.330128205128204,42.928205128205136,42.32051282051282
2023,Singapore Grand Prix,96.273,28.276,40.83,27.167,MEDIUM,2.0,29.844318181818185,36.42215909090909,72.0284090909091
2023,Japanese Grand Prix,97.653,35.505,43.289,18.859,HARD,3.0,27.28860759493671,42.070253164556966,42.31645569620253
2023,Qatar Grand Prix,85.77,31.446,28.765,25.559,HARD,3.0,31.46289308176101,36.93207547169812,73.15723270440252
2023,United States Grand Prix,99.393,26.897,40.277,32.219,MEDIUM,9.0,29.96011904761904,40.62857142857143,41.910714285714285
2023,Mexico City Grand Prix,82.78,29.223,32.172,21.385,MEDIUM,9.0,25.547368421052628,45.63947368421053,23.55263157894737
2023,São Paulo Grand Prix,74.934,19.301,38.22,17.413,SOFT,13.0,20.460109289617485,46.775956284153004,58.17486338797814
2023,Las Vegas Grand Prix,96.071,27.315,32.18,36.576,HARD,18.0,18.05,17.99444444444444,47.361111111111114
2023,Abu Dhabi Grand Prix,88.187,17.73,38.019,32.438,HARD,11.0,26.962820512820517,33.46089743589744,51.0
2024,Bahrain Grand Prix,95.065,30.39,41.347,23.328,HARD,9.0,18.22738853503185,23.652866242038222,48.82165605095541
2024,Saudi Arabian Grand Prix,92.254,34.061,28.821,29.372,HARD,35.0,25.528082191780825,31.59315068493151,62.33561643835616
2024,Australian Grand Prix,80.284,27.824,17.716,34.744,HARD,8.0,20.62222222222222,38.40208333333333,44.451388888888886
2024,Japanese Grand Prix,94.404,34.005,42.106,18.293,MEDIUM,3.0,21.691160220994476,37.50110497237569,43.430939226519335
2024,Chinese Grand Prix,100.112,26.699,29.964,43.449,HARD,16.0,18.63939393939394,29.792727272727273,66.06060606060606
2024,Miami Grand Prix,91.921,30.917,35.208,25.796,HARD,19.0,28.521999999999995,44.664,59.00666666666667
2024,Emilia Romagna Grand Prix,78.589,25.137,27.092,26.36,MEDIUM,4.0,25.113986013986015,42.023776223776224,48.42657342657343
2024,Monaco Grand Prix,75.228,19.584,35.408,20.236,MEDIUM,72.0,21.596499999999995,46.318000000000005,63.99
2024,Canadian Grand Prix,74.895,21.203,23.671,30.021,MEDIUM,16.0,17.797345132743363,24.569911504424784,73.38053097345133
2024,Spanish Grand Prix,78.29,23.092,31.512,23.686,HARD,14.0,24.132467532467533,41.096103896103905,63.44155844155844
2024,Austrian Grand Prix,69.164,17.464,30.89,20.81,HARD,2.0,29.42587412587413,46.420979020979026,35.00699300699301
2024,British Grand Prix,91.298,29.299,36.816,25.183,MEDIUM,3.0,15.77074829931973,27.670068027210885,67.33333333333333
2024,Hungarian Grand Prix,80.305,29.202,28.36,22.743,HARD,2.0,28.82387096774194,44.91612903225806,46.92258064516129
2024,Belgian Grand Prix,107.113,30.99,47.172,28.951,HARD,34.0,21.32846715328467,42.26715328467153,49.583941605839414
2024,Dutch Grand Prix,73.927,25.168,26.545,22.214,SOFT,6.0,19.00588235294118,30.80588235294118,60.96078431372549
2024,Italian Grand Prix,82.036,27.174,27.825,27.037,HARD,16.0,33.1015037593985,49.31127819548872,32.285714285714285
2024,Azerbaijan Grand Prix,106.628,38.059,43.325,25.244,HARD,33.0,26.70592105263158,44.34934210526316,38.01973684210526
2024,Singapore Grand Prix,97.047,28.709,41.104,27.234,HARD,3.0,30.786250000000003,36.445625,74.65
2024,United States Grand Prix,97.656,26.373,38.929,32.354,MEDIUM,2.0,28.12129032258064,46.60193548387097,35.535483870967745
2024,Mexico City Grand Prix,80.731,28.716,31.272,20.743,HARD,32.0,19.88867924528302,35.60251572327045,51.0503144654088
2024,São Paulo Grand Prix,81.645,20.853,42.987,17.805,INTERMEDIATE,37.0,21.662686567164172,25.769651741293536,85.2587064676617
2024,Las Vegas Grand Prix,95.717,27.305,31.481,36.418,HARD,15.0,17.825174825174823,17.723776223776223,47.86013986013986
2024,Qatar Grand Prix,83.355,30.933,28.364,24.058,HARD,15.0,18.926490066225167,22.773509933774836,57.25165562913907
2024,Abu Dhabi Grand Prix,88.195,17.533,38.292,32.37,HARD,30.0,26.76824324324324,31.805405405405406,51.445945945945944
2025,Australian Grand Prix,85.065,29.511,18.617,36.937,HARD,9.0,15.707865168539326,18.942134831460674,78.42134831460675
2025,Chinese Grand Prix,95.816,25.601,28.828,41.387,HARD,41.0,27.21558441558442,35.81688311688312,18.233766233766232
2025,Japanese Grand Prix,91.357,31.474,41.914,17.969,HARD,32.0,14.429999999999998,20.514285714285716,76.37142857142857
2025,Bahrain Grand Prix,95.518,30.752,41.505,23.261,SOFT,7.0,27.052531645569626,31.870253164556964,45.32911392405063
2025,Saudi Arabian Grand Prix,92.893,34.277,29.091,29.525,HARD,12.0,29.483802816901402,37.819718309859155,62.725352112676056
2025,Miami Grand Prix,90.318,30.102,34.57,25.646,HARD,7.0,26.573154362416112,38.69060402684564,63.02013422818792
2025,Emilia Romagna Grand Prix,79.733,25.246,27.958,26.529,HARD,26.0,23.964666666666666,42.664,38.306666666666665
2025,Monaco Grand Prix,73.405,19.211,34.69,19.504,HARD,6.0,22.209375,43.317499999999995,52.51875
2025,Spanish Grand Prix,77.244,22.988,31.092,23.164,SOFT,10.0,29.12,48.54322580645161,54.6258064516129
2025,Canadian Grand Prix,74.119,20.624,23.41,30.085,HARD,21.0,24.036526946107788,49.25329341317366,27.976047904191617
2025,Austrian Grand Prix,69.372,17.413,30.822,21.137,HARD,2.0,30.347826086956523,49.166459627329196,31.981366459627328
2025,British Grand Prix,90.869,29.021,36.896,24.951999999999998,HARD,13.0,17.91741935483871,23.578709677419354,78.3741935483871
2025,Belgian Grand Prix,106.566,30.765,47.202,28.599,MEDIUM,31.0,17.030044843049332,24.09013452914799,84.4439461883408
2025,Hungarian Grand Prix,79.409,28.968,28.136,22.305,HARD,2.0,22.082165605095543,32.72993630573249,57.24203821656051
2025,Dutch Grand Prix,73.728,25.076,26.447,22.205,SOFT,20.0,20.077358490566034,27.96352201257861,71.17610062893081
2025,Italian Grand Prix,81.8,27.082,27.722,26.996,HARD,18.0,26.76111111111111,43.28819444444444,42.604166666666664
2025,Azerbaijan Grand Prix,103.754,36.727,41.778,25.249,MEDIUM,9.0,20.551923076923078,26.107051282051284,59.833333333333336
2025,Singapore Grand Prix,95.676,28.439,40.312,26.925,HARD,2.0,29.072049689440995,33.85217391304348,74.36024844720497
2025,United States Grand Prix,98.224,26.363,39.223,32.638,SOFT,5.0,28.267532467532465,45.0448051948052,22.532467532467532
2025,Mexico City Grand Prix,80.052,28.383,31.082,20.587,SOFT,5.0,26.405555555555555,50.58827160493828,23.234567901234566
2025,São Paulo Grand Prix,73.097,18.687,37.626,16.784,MEDIUM,7.0,17.348026315789475,30.69276315789474,70.57236842105263
2025,Las Vegas Grand Prix,94.592,26.975,31.663,35.954,HARD,33.0,16.73404255319149,19.52978723404255,37.765957446808514
